Item,Quantity,Price,Source
PCBA,-,129.29,JLCPCB
PCB Shipping,-,11.99,JLCPCB
High Torque Servo,2,22.04(for 2),https://robu.in/product/waveshare-2-3kg-dual-axis-serial-bus-servo/
LED Strip,1,3.82,https://robu.in/product/5m-neon-light-dance-party-decor-light-neon-led-lamp-flexible-el-wire-rope-tube-waterproof-led-strip-only-el-wire-yellow/
